model,ins_id,param_id,length,format,num,correct,order,total_score
Meta-Llama-3.1-8B,0,0,3,0.0,1.0,0.5,0.5,0.55
Meta-Llama-3.1-8B,0,1,3,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,0,2,3,0.0,1.0,0.16666666666666666,0.5,0.45
Meta-Llama-3.1-8B,0,3,3,0.0,1.0,0.5,1.0,0.65
Meta-Llama-3.1-8B,0,4,3,0.0,1.0,0.3,1.0,0.5900000000000001
Meta-Llama-3.1-8B,1,0,3,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,1,3,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,1,2,3,0.0,0.0,0.16666666666666666,0.5,0.15
Meta-Llama-3.1-8B,1,3,3,0.0,1.0,0.375,1.0,0.6125
Meta-Llama-3.1-8B,1,4,3,0.0,0.4666666666666666,0.10000000000000002,0.5,0.27
Meta-Llama-3.1-8B,2,0,3,0.0,1.0,0.5,0.5,0.55
Meta-Llama-3.1-8B,2,1,3,0.0,1.0,0.25,0.5,0.475
Meta-Llama-3.1-8B,2,2,3,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,2,3,3,0.0,1.0,0.375,1.0,0.6125
Meta-Llama-3.1-8B,2,4,3,0.0,1.0,0.10000000000000002,0.5,0.43
Meta-Llama-3.1-8B,3,0,3,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,1,3,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,2,3,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,3,3,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,4,3,0.0,1.0,0.3,1.0,0.5900000000000001
Meta-Llama-3.1-8B,4,0,3,0.0,0.0,0.5,0.5,0.25
Meta-Llama-3.1-8B,4,1,3,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,2,3,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,4,3,3,0.0,0.4166666666666667,0.0,0.5,0.225
Meta-Llama-3.1-8B,4,4,3,0.0,1.0,0.10000000000000002,0.5,0.43
Meta-Llama-3.1-8B,0,0,6,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,0,1,6,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,0,2,6,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,0,3,6,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,0,4,6,0.0,1.0,0.10000000000000002,0.5,0.43
Meta-Llama-3.1-8B,1,0,6,0.0,0.3333333333333333,0.0,0.5,0.2
Meta-Llama-3.1-8B,1,1,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,2,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,3,6,0.0,0.0,0.125,0.5,0.1375
Meta-Llama-3.1-8B,1,4,6,0.0,0.1333333333333333,0.4000000000000001,1.0,0.36
Meta-Llama-3.1-8B,2,0,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,1,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,2,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,3,6,0.0,0.5833333333333334,0.125,0.5,0.3125
Meta-Llama-3.1-8B,2,4,6,0.0,0.0,0.20000000000000004,1.0,0.26
Meta-Llama-3.1-8B,3,0,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,1,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,2,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,3,6,0.75,1.0,0.0,0.5,0.55
Meta-Llama-3.1-8B,3,4,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,0,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,1,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,2,6,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,3,6,0.0,0.0,0.125,0.5,0.1375
Meta-Llama-3.1-8B,4,4,6,0.0,1.0,0.3,1.0,0.5900000000000001
Meta-Llama-3.1-8B,0,0,13,0.0,0.0,0.5,0.5,0.25
Meta-Llama-3.1-8B,0,1,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,2,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,0,3,13,0.0,0.5,0.0,0.5,0.25
Meta-Llama-3.1-8B,0,4,13,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,1,0,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,1,13,0.0,0.0,0.25,0.5,0.175
Meta-Llama-3.1-8B,1,2,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,3,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,1,4,13,0.0,1.0,0.0,0.5,0.4
Meta-Llama-3.1-8B,2,0,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,1,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,2,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,3,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,2,4,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,0,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,1,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,2,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,3,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,3,4,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,0,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,1,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,2,13,0.0,0.0,0.0,0.5,0.1
Meta-Llama-3.1-8B,4,3,13,0.0,0.0,0.0,0.5,0.1
