model,ins_id,param_id,length,format,correct,ori,total_score
Meta-Llama-3.1-8B,0,0,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,1,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,3,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,4,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,5,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,1,0,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,1,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,3,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,1,4,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,5,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,0,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,1,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,2,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,3,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,4,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,5,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,0,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,1,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,3,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,3,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,4,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,3,5,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,4,0,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,1,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,2,3,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,3,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,4,4,3,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,5,3,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,0,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,1,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,2,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,4,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,5,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,0,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,1,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,1,4,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,1,5,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,0,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,1,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,2,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,4,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,2,5,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,0,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,1,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,2,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,4,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,3,5,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,0,6,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,1,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,2,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,3,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,4,4,6,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,4,5,6,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,0,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,1,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,2,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,3,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,4,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,0,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,0,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,1,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,2,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,3,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,4,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,1,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,0,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,1,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,2,2,13,0.0,0.0,1.0,0.25
Meta-Llama-3.1-8B,2,3,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,4,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,2,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,0,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,1,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,2,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,3,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,4,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,3,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,0,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,1,13,0.2,0.0,1.0,0.3
Meta-Llama-3.1-8B,4,2,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,3,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,4,13,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B,4,5,13,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,0,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,1,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,0,2,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,0,3,28,1.0,0.0,1.0,0.5
Meta-Llama-3.1-8B,0,4,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,0,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,1,0,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,1,1,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,1,2,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,1,3,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,1,4,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,1,5,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,0,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,1,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,2,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,3,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,2,4,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,2,5,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,3,0,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,3,1,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,3,2,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,3,3,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,3,4,28,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,3,5,28,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,4,0,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,1,28,1.0,0.5,1.0,0.75
Meta-Llama-3.1-8B,4,2,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,4,3,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,4,4,28,0.5,0.0,1.0,0.375
Meta-Llama-3.1-8B,4,5,28,0.5,1.0,1.0,0.875
Meta-Llama-3.1-8B,0,0,60,1.0,0.5,1.0,0.75
